x,phi,theta
13,270,40
12.75,251.26,39
12.28,232.91,38
11.62,214.09,37
10.85,197.47,36
10.03,180.38,35
9.23,163.71,34
8.53,147.48,33
7.96,131.67,32
7.58,116.31,31
7.41,101.38,30
7.71,86.91,29
8.22,72.88,28
8.71,59.29,0
9.09,59.29,-15
9.37,66.74,-13
9.58,73.19,-10
9.71,78.18,-8
9.81,81.92,-5.5
9.92,85.5,-3.5
9.97,89.23,0
