x,phi,theta
1,-90,-30
1.22,-75.52,-29
1.64,-51.49,-28
2.24,-47.92,-27
2.98,-34.8,-26
3.82,-22.13,-25
4.72,-9.93,-24
5.64,1.8,-23
6.54,13.06,-22
7.39,23.86,-21
8.17,34.18,-20
8.85,44.04,-19
9.42,53.4,-18
9.66,62.29,-17
9.82,70.69,-16
10.08,78.62,-15
10.11,85.05,-14
10.13,90.02,0
