x,phi,theta
13,90,-12
12.9,95.97,-10.05
12.71,100.97,-8.1
12.45,105.01,-6.15
12.15,108.08,-4.2
11.8,110.18,-2.25
11.44,111.31,-0.3
11.08,111.46,1.65
10.72,110.63,3.6
10.4,108.83,5.55
10.13,106.06,7.5
9.98,102.31,9.45
9.89,97.5,11.4
9.81,90.94,0
