x,phi,theta
7,180,40
6.23,161.25,36.8
5.48,143.82,33.6
4.8,127.76,30.4
4.27,113.1,27.2
3.93,99.89,24
3.77,88.16,20.8
3.8,77.93,17.6
4,69.23,14.4
4.35,62.09,11.2
4.81,56.52,8
5.35,52.53,4.8
5.96,50.12,1.6
6.6,49.32,-1.6
7.25,50.13,-4.8
7.89,52.53,-11.2
8.49,56.52,-14.4
9.04,62.09,-17.6
9.82,69.23,-20.8
10.02,78.12,-24
10.05,89.15,0
