x,phi,theta
19,180,19
18.05,170.63,17.95
17.12,161.77,16.9
16.21,153.41,15.85
15.35,145.56,14.8
14.55,138.22,13.75
13.83,131.4,12.7
13.18,125.09,11.65
12.62,119.29,10.6
12.14,114.01,9.55
11.74,109.26,8.5
11.42,105.01,7.45
11.16,101.3,6.4
10.96,98.1,5.45
10.73,95.43,4.5
10.53,93.28,3.55
10.37,91.66,2.5
10.11,90.56,0
