x,phi,theta
19,90,-18
18.85,98.88,-16
18.57,106.81,-14
18.18,113.76,-12
17.69,119.72,-10
17.13,124.71,-8
16.51,128.7,-6
15.84,131.69,-4
15.16,133.69,-2
14.45,134.69,0
13.75,134.69,2
13.06,133.69,4
12.4,131.69,6
11.78,128.7,8
11.22,124.71,10
10.74,119.72,12
10.35,113.76,14
10.07,106.81,16
9.93,98.89,18
9.89,90,0
