x,phi,theta
7,90,12
7.1,84.03,10.06
7.29,79.02,8.12
7.55,74.97,6.18
7.86,71.89,4.24
8.21,69.77,2.3
8.57,68.62,0.34
8.84,68.44,-1.58
9.19,69.23,-3.52
9.42,70.99,-5.46
9.96,73.72,-7.4
9.81,77.45,-9.34
10.05,83.16,-11.28
10.15,89.67,0
